Data_Quality_Notes,type,title,director,cast,release_year,rating,Duration_Value,Duration_Unit,listed_in,description,Data_Quality_Notes
s6031,Movie,Maqsad,K. Bapaiah,"Rajesh Khanna, Jeetendra, Shatrughan Sinha, Sridevi, Jaya Prada, Waheeda Rehman, Kader Khan, Asrani, Prem Chopra, Ranjeet, Amjad Khan, Shreeram Lagoo, Om Shivpuri, Shakti Kapoor, Deepak Parashar, Iftekhar, C.S. Dubey, Renu Joshi",1984,All,165,Min,"Action, Arts, Entertainment, And Culture","A Wealthy Industrialist Is Murdered And The Blame Falls On A Person Who Hails From A Poor Family. To Prove His Innocence, He Must Strive Hard To Prove And Gather Evidence That Clears Him Of This Crime.",
s6032,Movie,Life Itself,Steve James,"Roger Ebert, Martin Scorsese, Errol Morris, Werner Herzog, Chaz Ebert",2014,R,121,Min,Documentary,"A Documentary That Recounts The Inspiring And Entertaining Life Of World-Renowned Film Critic Roger Ebert. It'S Personal, Funny, Painful, And Transcendent. From His Pulitzer-Prize Winning Criticisms To Becoming An Influential Voice In America.",
s6033,Movie,Kill Me Three Times,Kriv Stenders,"Simon Pegg, Sullivan Stapleton, Teresa Palmer, Alice Braga, Callan Mulvey, Luke Hemsworth",2015,R,90,Min,"Action, Adventure, Suspense","Simon Pegg Plays The Assassin, Charlie Wolfe, Who Discovers He Isn'T The Only Person Trying To Kill The Temptress Of A Surfing Town (Alice Braga). Charlie Is At The Center Of Three Tales Of Murder, Mayhem, Blackmail And Revenge.",
s6034,Movie,Insaaf Ki Awaaz,"D. Rama Naidu, B. Gopal","Anil Kapoor, Rekha, Anupam Kher, Kader Khan, Gulshan Grover, Raj Babbar, Richa Sharma, Aruna Irani, Nilu Phule, Sushma Seth, Asrani, Pallavi Joshi, Jagdeep, Roopesh Kumar, Shafi Inamdar, Tej Sapru, Mohan Choti, Ghanshyam Rohera, Parikshat Sahni",1986,13+,154,Min,"Action, Drama","Inspector Jhansi Is An Honest Police Officer. Her Brother Ravi Falls In Love With Her Rival'S Daughter. When The Girl'S Father Comes To Know About His Daughter'S Relationship, He Is Enraged.",
s6035,Movie,Herbie Hancock: Possibilities,Not Mentioned,"Herbie Hancock, Christina Aguilera, Sting, John Mayer, Raul Midón",2006,Pg,91,Min,Arthouse,Ordinary Music Soars To Extraordinary Heights As Gifted Keyboardist Herbie Hancock Joins Forces With A Variety Of Well-Known Music Superstars To Offer A Completely Original Listening Experience.,
s6036,Movie,Gumm,"Ammar Lasani, Kanza Zia","Sami Khan, Shameen Khan, Shamoon Abbasi, Anjum Habibi, Aleeza Syed",2019,18+,96,Min,"Action, Romance, Suspense","A Wanted Criminal And A Desperate Father Who Are Interlinked By A Series Of Unfortunate Events, Manipulate Their Chances To Save What Matters Most To Them. Lost In The Middle Of Nowhere, Will They Be Able To Win This Battle Against The Ticking Clock?",
s6037,Movie,Gracie!,Brian Percival,"Jane Horrocks, Tom Hollander",2009,13+,78,Min,"Drama, Romance","Heart-Breaking Drama About The Relationship Between Much-Loved British Film Star Gracie Fields And Italian-Born Hollywood Director Monty Banks. Starring The Internationally Renowned Jane Horrocks As The Singing, Laughing, Heart-Breaking Gracie Fields, This Is A Romantic Comedy Steeped In Warm Wit, Dramatic Dilemma-Filled Emotion And Vivacious, Irrepressible Energy.",
s6038,Movie,Extreme Movie,"Adam Jay Epstein, Andrew Jacobson","Frankie Muniz, Michael Cera, Kevin Hart, Daneel Ackles, Ben Feldman",2008,R,85,Min,Comedy,Several Sketches Illustrate The Numerous Joys And Even More Numerous Embarrassments Involved With Teen Sex.,
s6039,TV Show,Dough boy,Not Mentioned,"Braylon Jones, Malan B., Emanuel Vaneckelen, Melinda Winstead, James Thornton, John Kokoszka, Scott Starkweather",2021,18+,1,Season,"Drama, Romance","A Young Haitian American Man From New York Is Forced To Follow His Wife And Daughter To Atlanta, Ga. Lisa, Shamar'S Wife Is Fed Up With The Hustling Lifestyle And Decides To Take Their Daughter Away From Shamar'S Drug Dealing Ways. Shamar'S Follows His Daughter And Wife To Atlanta And Promise To Leave His Drug Dealing Ways Behind. With No Work Experience Shamar Has To Deliver Pizza.",
s6040,Movie,Cypher - Shoonya Se Shikhar Tak,Sagar Pathak,"Paresh Bhanushali, Brijendra Kala, Rajesh Sharma, Vikram Ghokale, Shishir Sharma, Krunal Pandit, Krishna Bhatt, Arun Bali, Mukesh S. Bhatt, Arun Kushwah",2019,7+,121,Min,Drama,"""Shoonya Se Shikhar Tak"" Narrates The Inspirational Story Of A Man Who Was Born Without Hands And Overcame Plethora Of Limitations To Achieve Great Things In Life. Must Watch Motivational Family Film.",
s6041,Movie,Big Bad Wolves (English Subtitled),Magnolia,"Lior Ashkenazi, Rotem Keinan",2014,Nr,110,Min,"Arthouse, Comedy, Horror","A Series Of Brutal Murders Puts The Lives Of Three Men On A Collision Course: The Father Of The Latest Victim, A Vigilante Police Detective, And The Main Suspect In The Killing.",
s6042,Movie,Beyond The Black Rainbow,Panos Cosmatos,"Eva Allan, Scott Hylands",2012,R,110,Min,"Horror, Science Fiction","Held Captive In A Specialized Medical Facility, A Young Woman With Unique Abilities Seeks A Chance To Escape Her Obsessed Captor.",
s6043,TV Show,Becharey,Not Mentioned,"Ranjeet (Gopal Bedi), Rahul Datta, Amita Yadav, Tusharr Shiv, Prateik Chaudhary, Sambhav Jain, Himanshi Bhatt, Sandeep Shrivastava",2020,18+,1,Season,Comedy,"The Story Is Focused On Youngsters Struggling In Their Personal & Professional Life.They Are Going Through Their Share Of Fun In Each Episode Moving Towards Their Goals In Life,Friendship, Love & Relationship Crossing Each Other & Creating Situational Comedy. The Twist In The Story Is That Their Landlord Is Having A Service Apartment In Which People Keep Coming As Guests &Become Part Of The Story.",
s6044,TV Show,A Toy Store Near You,Not Mentioned,"Jayden Frost, Jonathan Schoonveld, Pieter Kamp, Andrew Leung, Christine Osborne, Emmy Frost, Andrew Kissner, Colton Grimes, Sofia Foglia, Danny Ortiz, Ryan Wilhelm, Ryan Hartsell, Shannon Blameuser, Matt Quinnan, Elias Gonzalez, Zachary Cannon, Dan Tinaglia, Joe Tinaglia, Gina Venable, Dan Polydoris, Michel Van Staveren, Joshua Baumgarten, Geoffrey Cannaby, Eva Van Den Anker, Gonneke Van Der Vijver, Aafke De Vries, John Powell, Anthony Barbaria, Sief Naser, Tim Gier, Tori Gier, Elizabeth Darby, Cody Deen, Kathy Mckay, Debbie Doscher",2021,Tv-14,3,Seasons,"Documentary, Kids, Science Fiction","Throughout The World, There Are Hundreds Of Independently-Owned Toy Stores, Each One As Unique & Endearing As The People That Own Them. This Community Has Been Disrupted By The Covid-19 Pandemic As Store Owners Are Finding New Ways To Keep Their Businesses Running. Whether You'Re An Avid Collector Or A Toy Store Novice, These Stories Are Universally Powerful, Sometimes Heartbreaking, & Always Fun.",
s6045,Movie,2 Days In New York,Julie Delpy,"Chris Rock, Julie Delpy",2012,R,95,Min,Comedy,A Visit From Relatives Overseas Disrupts A New York Couple'S Home Life And Initiates Two Unforgettable Days Of Family Mayhem.,
s6046,TV Show,Truth or Dare,Not Mentioned,"Junjie Huang, Teresa Li, Jiawei Ding",2021,18+,1,Season,"Drama, Romance",A Story That Follows Two Couples Who Mistakenly Find Themselves In A Marriage They Never Expected And Gradually Grow In Love And Trust Over Time.,
s6047,TV Show,The Pursuit of Love,Not Mentioned,"Lily James, Emily Beecham, Dominic West, Andrew Scott, Emily Mortimer, Dolly Wells, John Heffernan, Shazad Latif, Annabel Mullion",2021,Tv-Pg,1,Season,"Drama, Historical, Romance","The Pursuit Of Love Follows The Friendship Between Cousins Linda And Fanny, Which Will Be Put To The Test As Fanny Settles For A Steady Life And Linda Decides To Follow Her Heart.",
s6048,Movie,Somnus,Chris Reading,"Marcus Mcmahon, Meryl Griffiths, Cullum Austin, Mac Mcdonald",2016,13+,83,Min,"Science Fiction, Suspense","In The Far Reaches Of Our Galaxy, A Cargo Vessel Crash Lands On An Asteroid Colonized By Forgotten Inhabitants With A Dark Past.",
s6049,Movie,Sidekicks,Aaron Norris,"Beau Bridges, Joe Piscopo, Jonathan Brandis, Chuck Norris, Mako, Julia Nickson, Danica Mckellar, Richard Moll, Gerrit Graham, Dennis Burkley, Robert Wall",1992,Pg,101,Min,"Action, Kids, Young Adult Audience","Teenager Barry Gabrewski Is A Daydreamer. To Escape His Real Life Problems, Barry Imagines Himself The Sidekick Of His Action Hero, Chuck Norris In A Series Of High-Octane Adventures Taken Right Out Of His Movies.",
s6050,Movie,Quit,Dick Rude,"Noah Segan, Diora Baird, Nathan Phillips, Lee Arenberg, Don Swayze, Sasha Grey",2021,16+,87,Min,"Arthouse, Drama, Romance",When A Twenty-Something Couple Go Away To The Desert Of Joshua Tree To Quit Smoking Together Their Relationship Is Tested. We Share The Torture The Couple Put Themselves Through But Learn Smoking Is A Metaphor For Their Addictive Relationship.,
s6051,Movie,Punarjagran,Aniruddha Upadhyay,"Mukesh Ram Prajapati, Deepak Jha, Babita Srivastawa, Chanda Kumari, Tapas Chakrawarti, Rakesh Gautam, Basant Mishra, Yas Kumar, Ajit Aroda",2021,13+,99,Min,"Drama, Special Interest",Punarjagran (Reawakening) Is A Film Based The Life And Teaching Of Swami Vivekananda His Guru Ramakrishana Passed On His Spiritual Teaching To Him. Swami Ji Spreads His Spiritual Teaching Abroad. And Thereafter He Returns Back And Enlightens The People Of India,
s6052,TV Show,Pinkfong! Phonics Songs,Not Mentioned,Not Mentioned,2017,All,1,Season,"Animation, Kids","Sing Along To Phonic Songs That Are Easy To Follow Just Right For Kids' First Abcs. Meet Pinkfong'S Fun, Educational Videos That Captured The Hearts Of Millions Of Children Around The World. Enjoy Hundreds Of Kids' Favorite Songs And Stories Created By Pinkfong, The Official Creator Of Global Hit Baby Shark Behind #Babysharkchallenge.",
s6053,Movie,Nicole Burch: Never Been Kissed,Corey Martin Craig,Nicole Burch,2020,18+,50,Min,"Arts, Entertainment, And Culture, Comedy, Special Interest","Nicole Has Been Through The Wringer When It Comes To Dating. Then One Night She Meets Her Childhood Crush And Celebrity, Michael Vartan. Could He Be The One Who Saves Her From An Unlucky Streak Or Will Nicole Find Another Way To Sabatoge Fate?",
s6054,TV Show,My Greek Table with Diane Kochilas,Not Mentioned,Diane Kochilas,2020,Tv-G,1,Season,Special Interest,"This Season Its Greece'S Coastal Areas And Islands. Mykonos Shares Its Agrarian Secrets. Tinos, We Visit A Marble Sculptor And Make Pasteli. Paros Is About Sustainable Farming. Naxos, Its Amazing Meat And Potatoes. Chios, Its Seductive Mastiha And Fig Liqueur. Messinia, I Visit A Friend'S Villa And Meet Up With An Ultra Marathoner. The Athenian Riviera Is All About International Greek Food.",
s6055,Movie,Loving Miss Hatto,Aisling Walsh,"Alfred Molina, Francesca Annis, Rory Kinnear, Maimie Mccoy",2012,13+,91,Min,Drama,"The Story Of One Of Britain'S Most Famous Pianists, Joyce Hatto, And Her Husband William, From Their Meeting In Post-War London To Her Death In 2006 - After Which Her Recordings Were Discovered To Be One Of The Biggest Hoaxes In Classical Music History.",
s6056,Movie,"Love, Honour and Obey","Dominic Anciano, Ray Burdis","Sadie Frost, Jonny Lee Miller, Jude Law, Ray Winstone",2003,18+,93,Min,"Comedy, Drama","Ray Runs North London'S Most Powerful Criminal Gang, And His Nephew Jude Is A Polished And Successful Member. Jude'S Boyhood Friend Jonny Comes To Jude With An Idea He Wants To Pitch To Ray. Jonny Wants Violence, So He Repeatedly Tries To Start Trouble With The South London Equivalent Of Ray'S Gang. Will He Succeed? If He Does, Will He Find Glory In War?",
s6057,TV Show,Jacob Two-Two,Not Mentioned,"Billy Rosemberg, Dwayne Hill, Jeff Berg, Harvey Atkin",2006,Tv-Y7,3,Seasons,"Animation, Kids, Science Fiction",The Adventures Of A Precocious Young Boy In Montreal Who Has A Habit Of Repeating Himself.,
s6058,Movie,Garden of Hedon,Kevin Kangas,"Danielle Lozeau, Richard Cutting, Manuel Poblete, Daniel Ross, Leanna Chamish, Lauren Lakis",2012,18+,118,Min,"Horror, Science Fiction","Anything Goes In The Garden Of Hedon. Even Murder. ""Fresh And Exciting,"" Says Ain'T It Cool News. ""A Twisty Thriller,"" Says Night Of The Living Podcast. ""A Genre-Bending Journey Into Debauchery And Murder,"" Says Horrortalk.",
s6059,Movie,Friends and Crocodiles,Stephen Poliakoff,"Damian Lewis, Johdi May, Robert Lindsay",2006,16+,109,Min,"Drama, Romance","Paul Reynolds Is A Gatsby-Like Figure: Owner Of A Magnificent House, A Host Of Grand Parties, And A Collector Of Interesting People. He Persuades Lizzie Thomas To Come And Work For Him. Lizzie Quickly Rises Through The Changing Landscape Of Corporate Britain. This Is A Story Of A Meaningful And Powerful Relationship, About Those Rare People Who Profoundly Influence And Shape Our Lives.",
s6060,TV Show,Four Senses,Not Mentioned,"Christine Ha, Carl Heinrich, Corbin Tomaszeski, Laura Calder, Erin Davis, Wanda Beaver, Claire Tansey, Farzam Fallah, Amira Becarevic, Carole Bearg, Luke Hayes-Alexander, Michael Hunter, Mike Ward, Mairlyn Smith, Frankie Ferragine",2016,Tv-G,2,Seasons,Special Interest,Celebrity Chefs Christine Ha And Carl Heinrich Team Up With Special Guests For An Exciting Cooking Show With An Accessibility Twist.,
s6061,Movie,Drowning Mona,Nick Gomez,"Danny Devito, Bette Midler, Neve Campbell, Jamie Lee Curtis, Casey Affleck, William Fichtner, Will Ferrell, Melissa Mccarthy, Kathleen Wilhoite, Mark Pellegrino, Brian Doyle-Murray, Paul Schulze",2000,Pg-13,96,Min,"Comedy, Drama, Suspense","When A Woman Drives A Car Into The River To Her Death, Everyone In Town Becomes A Suspect.",
s6062,Movie,Dave Helem: DJ The Chicago Kid,Brian Volk-Weiss,Dave Helem,2021,18+,61,Min,"Arts, Entertainment, And Culture, Comedy, Special Interest","Dj The Chicago Kid Is An Hour-Long Roller Coaster Of Things That Have Made Dave Helem Who He Is, Both Good And Bad. The Comedian And Former Math Teacher'S Laid Back Style Of Storytelling & Vivid Imagination Takes Us On A Journey Of Topics.",
s6063,Movie,Carrie's War,Coky Giedroyc,"Keeley Fawcett, Alun Armstrong, Lesley Sharp, Pauline Quirke, Geraldine Mcewan, Jack Stanley",2004,7+,89,Min,"Drama, Kids","A Heartwarming Coming-Of-Age Drama, Where Childhood Fantasy Meets Grown Up Reality. It'S Wartime. As The Bombs Fall Carrie Willow And Her Younger Brother Nick Are Evacuated To Wales Where They Live With The Difficult Mr Evans But While There Make The Most Colorful Collection Of Friends.",
s6064,Movie,Arjun Anu,Jeffrey Gee Chin,"Vishnu Manchu, Kajal Aggarwal, Suniel Shetty, Naveen Chandra, Navdeep, Harsha, Mahima Makwana, Karma Mccain, Ruhi Singh",2021,13+,133,Min,"Action, Drama","Based On A Series Of True Incidents That Shook The Indian It Industry And Conned A Whopping $380 Million Dollars (Rs.2,800 Crores). This Project Is About Cultural Clash Between Generations; Between East And West; Between Rich And Poor. On A Moral Downward Spiral, Yet An Upward Climb To Great Financial Success, Anu And Arjun Become Savvy Criminals And Devise An Ingenious Scam.",
s6065,Movie,An English Haunting,Charlie Steeds,"David Lenik, Tessa Wood, Barrington De La Roche",2020,16+,89,Min,Horror,"Blake And His Mother Move Into An Old Mansion, To Care For A Dying Relative, But Find Themselves Haunted By The House'S Sinister And Terrifying Past.",
s6066,Movie,Zomblies,David M Reynolds,"David M Reynolds, Christopher Dane",2010,18+,47,Min,Horror,"When Rookie Zombie Hunters Send Out A Distress Call, It'S Up To The Rangers Army Troop To Cross The Wall To Bring Them Back Alive. But Their Mission Isn'T Just To Rescue, As They Soon Uncover The Truth About A Terrifying New Breed Of Zombie.",
s6067,Movie,Worth,Jenn Page,Eric Roberts,2021,13+,90,Min,"Drama, Special Interest, Suspense","Johnny Was A Young Seminary Student Who Lost His Wife To A Drunk Driver. With His Reason For Living Gone, John Lost His Faith And Turned To Alcohol. Ten Years Later, John Is Finally Ready To Get His Life Back On Track. With His Best Friend Hickey ('Eric Roberts') In Tow John Attends His First Aa Meeting. He Finds That His Road To Recovery Tested When He Runs Into The Man Who Ran Down His Wife.",
s6068,Movie,Wheeler,Ryan Ross,"Stephen Dorff, Ryan Ross, Kris Kristofferson, Audrey Spillman, Bobby Tomberlin, Bart Herbison, Jim Ed Norman, Travis Meadows, Anastasia Munoz, Matt Barr, Sherri Callahan, Ron Harman, Dena Brown, William Todd Austin, Jennifer Lewis, Mary Haynes, Josh Adelstein, Erika Wollam Nichols, Marcia Campbell, Jennie Didominzio, William Minor, Dorothy Daniel, Craig White, David Bates, Michael Woodrum",2021,Pg,100,Min,"Arts, Entertainment, And Culture","Wheeler Is A ""Documentary"" Following Texas Native Wheeler Bryson On The Journey He Takes To Nashville To Chase A Dream: Making It In Country Music.",
s6069,Movie,Vegas Life,Jacob Bellamy,"Jacob Bellamy, Patrick Williams, Alex Oliver, Kc Collins, Lashimeice Williams, Deddrick Flynn, Ramon Williams, Chris Cash, Lawrence Wade, Sadel Notes, Tony Green, Carl Dangerfield, Young Honor, Jamil Abdullah, Michelle Williams, Johnny, Turk Heads",2021,18+,56,Min,"Action, Drama","Uno(Jacob Bellamy) Takes Young Demecee (K. Collins) An Up And Coming Protege, Under His Wings Only To Find Out Later He Would Betray Him. Things Start To Escalate Which Leads To An Unexpected End.",
s6070,Movie,Unthinkable,"George Loomis, Elias Talbot","Missi Pyle, Vivica A Fox, Christopher Cousins",2020,16+,87,Min,Suspense,"A Young Medical Student Finds Himself Entrenched In A Web Of Intrigue When He'S Sent To Care For The Former Us Ambassador To Syria. Christopher Cousins, Vivica A. Fox And Missi Pyle Co-Star In Loomis' Thrilling Drama.",
s6071,Movie,The Wake Up Call,Derrick Mullen,"Alex Jay, Jonta King, Freddie Cole Jr., Cee Sharp, Carolyn Cee Renee, Titus Reed, Tanya Harvey, Donald Douglas, Tamika Foggie, Dawn Richards, Julius Young, Kim Harvey, Kennetha Paris, Ketra Sims, London Bridgewater",2021,13+,98,Min,"Drama, Romance, Special Interest","The Wake Up Call Is A Faith-Based Film Inspired By Real Life Choices And Conflicts Of Christians Today. Stacy Is A Young Woman Who Was Born And Raised In Church, And Greatly Involved While Living A Double Life. Frank, Her Boyfriend, Is From The Streets. Stacy Spends Most Of Her Sunday Mornings Praying For Frank To Attend Church Services With Her. Her Prayers Are Finally Answered.",
s6072,TV Show,The Stanley Dynamic,Not Mentioned,"Charles Vandervarrt, Kate Hewlett, Michael Barbuto, Madison Ferguson, Taylor Abrahamse, Josette Jorge, Bill Turnbull, Grame Jokic, Isiah Lea",2016,Tv-G,3,Seasons,"Comedy, Kids","The Stanleys Are A Typical Family, Except One Of Their Twin Sons Is A Cartoon.",
s6073,Movie,The Road to Cabazon,Jackson Begley,"Chris Korkalo, Mark Huber, Lila Korkalo",2020,16+,98,Min,"Comedy, Drama","Sam Just Lost Custody Of His Daughter, Emma. As A Last-Ditch-Effort To Connect With Emma, Sam Decides To Drive Her Across Country To Her Mother On The West Coast. Things Get Complicated When Sam Is Unable To Drive And His Ex-Brother-In-Law, Dave, Must Do The Job.",
s6074,Movie,The Lithium Conspiracy,Davide Marengo,"Guido Caprino, Carolina Crescentini, Maya Sansa, Philippe Leroy, Flora Martínez, Michele Venitucci, Franco Ravera, Gaetano Bruno, Nino Frassica, Francesco Pannofino",2012,13+,106,Min,"Drama, Suspense","Giulio, Torn Between A Demanding Wife Who Left Him And A Job That Seems To Have No Future After A Banking Merge, Is Being Practically Pushed On A Plane To A Place Called Queimada In South America, Which Hides The Largest Lithium Deposit In The World. He'S Given No Information On What He Should Be Doing With The Cryptic Statement ""The Less You Know, The Better...""",
s6075,Movie,The Land Between The Lakes,Leslie Ramsey,"Alazel Waller, Leslie Ramsey",2021,16+,111,Min,"Animation, Horror",A Newly Promoted Detective And His Childhood Friend Tries To Solve A Mysterious Case That Leads Him To Damnation But Is He More Involved In The Case Than What He Thinks,
s6076,TV Show,The Bridge,Not Mentioned,"Diane Kruger, Demián Bichir, Thomas M. Wright, Ted Levine, Matthew Lillard, Emily Rios, Annabeth Gish, Johnny Dowers, Ramón Franco",2014,Tv-Ma,2,Seasons,"Drama, Suspense","Marco Ruiz Is A Homicide Investigator For The State Of Chihuahua, Mexico Living In Ciudad Juarez. A Family Man, Marco Is One Of The Last Good Men In A Corrupt And Apathetic Police Force That Is Out-Gunned By The Powerful Drug Cartels. When A Body Is Dumped On The Bridge That Spans The El Paso-Ciudad Juarez Border, Ruiz Is Forced To Work With His American Counterpart, Detective Sonya Cross.",
s6077,Movie,The Black List,Patrick A. Albright,"Vanessa Lundy, Tia Randall, Shawn Mays, Adrienne Anderson, Warren Perry, Jameela Hardmon, Latanya Albright, Alexandria Jade, Alia Torres, Sammie Wright, Abram Malcom, Gregory Smith, Dominique Treadwell",2021,16+,61,Min,"Comedy, Horror, Suspense",11 Tales Of Suspense And Horror Told From An African American Perspective. From The Mind Of The Award Winning Director/Photographer Patrick A. Albright.,
s6078,Movie,The Birth of Deceit,Yaw Agyapong,"Nessa Noel, Jennifer Silverstein, Terrence Keene, Devin Richardson, Alicia Dell'Aria, Rochelle Denise Dickerson, Rylee Gabrielle King, Tim Stainrod, Sherricka L. White",2020,18+,86,Min,Suspense,A Young Woman Befriends A Lady Who Knows What Happened To Her Parents. She And Her Friends Will Have To Fight For Their Lives To Uncover The Truth.,
s6079,Movie,The Adventures Of Skippy The Bush Kangaroo,Rob Stewart,Andrew Clark,1997,All,64,Min,Kids,After An Accident Involving A Dangerous Helicopter Rescue Sonny Hammond Is Sent To Work In The City. He And The Family Have To Leave The Bush Skippy Disappears From Her Usual Bush Haunts Pining For Her Lost Family. The Search For Skippy Begins,
s6080,Movie,Someone to Carry Me,Terry Allen,"Samuel Thomas, Gwendoline Taylor, David Capstick, Scott Harding, Paul Thomas Lewis, Josiah Harrold, Ben Ryan, Tonci Pivac, Tom Easden, India Ryan, Tara Eloise, David Mccartney, Florence Salmon, Kahu Carter, Melvin Te Wani, Robert Ireland, Omar Al-Sobky, James Davies",2015,16+,99,Min,"Action, Drama, Suspense","Dan, An Aspiring Young Musician Becomes A Target After Witnessing A Brutal Murder. Seeking Safety In The Company Of Michael And Angelica, He Is Unaware Of The Peril He Places Them In, Or Of The Ultimate Cost Of His Decision To Run.",
s6081,Movie,Salt of the Earth,Herbert J. Biberman,"Will Geer, David Bauer, David Sarvis, Mervin Williams, Rosaura Revueltas",1954,13+,92,Min,Drama,"Mexican Workers At A Zinc Mine Call A General Strike. It Is Only Through The Solidarity Of The Workers, And Importantly The Indomitable Resolve Of Their Wives, Mothers, And Daughters, That They Eventually Triumph.",
s6082,Movie,Ram Joshi,Shantaram Rajaram Vankudre,"Jayaram Shiledar, Hansa Wadkar, Shakuntala Paranjpye, Sudha Apte, G. D. Madgulkar",1973,All,115,Min,Drama,"Ram Joshi Is A Brahmin Poet, Who Through His Love Of Poetry And Dance Starts Associating With The Tamasha Artists. He Falls In Love With The Tamasha Dancer Baya (Hansa Wadkar). The Film Follows His Descent Into Alcoholism And His Redemption From It Through Poetry.",
s6083,Movie,Patrick's Day,Terry Mcmahon,"Kerry Fox, Moe Dunford, Catherine Walker",2014,Pg-13,102,Min,Drama,"Patrick Is A Warm, Open, Twenty-Six Year Old Virgin Schizophrenic. Pills And His Mother'S Protection Means Patrick Is No Threat To Himself Or Others. Until He Falls In Love. Maura Is Patrick'S Obsessive Mother And Her Need To Control Her Son Blinds Her To The Reality That Sometimes The Only Thing More Damaging Than Hate Is Misguided Love.",
s6084,Movie,Mary J. Blige’s My Life,Vanessa Roth,Mary J. Blige,2021,R,82,Min,"Arts, Entertainment, And Culture, Documentary","Mary J. Blige Set The Music World On Fire With Her Trailblazing 1994 Lp “My Life,”. In Vanessa Roth’S Documentary Mary J. Blige’S My Life, The Singer, Rapper And Actress Reveals The Demons And Blessings That Inspired The Record And Propelled Her To International Stardom. She Celebrates The 25Th Anniversary Of Her Most Influential Work By Performing The Album Live For The First Time.",
s6085,Movie,Man of Tomorrow: Prisoner 984,Tibor Takács,"Stephen Markle, Don Francks, Gail Dahms-Bonine",1982,13+,69,Min,"Drama, Science Fiction, Suspense","In A Dystopian Future, A Corporate Executive Is Taken Prisoner By An Underground Organization Known As The Movement, And Is Turned Over To A Ruthless Interrogator For Answers.",
s6086,TV Show,Luxe Listings Sydney,Not Mentioned,"Gavin Rubinstein, Simon Cohen, D'Leanne Lewis",2021,Nr,1,Season,Unscripted,"Iconic Beaches And Breathtaking Properties Make Sydney One Of The Most Cutthroat Real Estate Markets In The World. For The First Time Ever, This High Stakes Carousel Of Multi-Million Dollar Homes Is Revealed Through A Trio Of Australia’S Top Agents, Who Stop At Nothing To Deliver Results For Their Demanding Clientele, While Balancing Their Hectic Personal Lives With Their Demanding Careers.",
s6087,Movie,Locomotive,Jeremy Waltman,"Frank Williams, Athena Masci, Toby Levin, Ashley Peoples, Bill Rusnak, Nicole Rusnak, Jules Joseph, Sam Mctavey, Paul Orbell, Alan Bendich, Kevin O'Callaghan, John Thomas, Michael Way, Matt Lamson, Shane Fresch, Drew Anderson, Francis Toner, Jessica Gamble",2012,18+,77,Min,Drama,"Dicey Found Success With The Band He Was In. So He Decides To Break Up The Band And Try His Hand At A Solo Career. Except Now He'S Failing. The Old Band Doesn'T Want Him Back. Desperate To Reinvent Himself, He Turns To His Old Love, A Groupie.",
s6088,Movie,Jesus Shows You The Way To The Highway,Miguel Llansó,"Daniel Tadesse, Guillermo Llansó, Agustín Mateo",2020,18+,82,Min,"Action, Comedy, Science Fiction","The Year Is 2035, And Special Agent Gagano Dreams Of Leaving The Cia. Before He Can Hand In His Resignation, A Cyber Virus Attacks Psychobook, The Cia'S Operating System, Forcing Him To Enter Cyberspace To Combat The Threat. Before Long The Virus Starts To Reach Out Into The Real World, Destabilising The Socio-Political Order, And Gagano Must Find A Way Out Of The Vr World Before It'S Too Late.",
s6089,Movie,Hajar Juni Samma,Bikash Raj Acharya,"Aaryan Sigdel, Swastima Khadka, Priyanka Karki, Salon Basnet, Akhilesh Pradhan, Sanchita Luitel, Shivahari Poudel, Anubhav Regmi",2019,16+,123,Min,Romance,"It'S About A Man And His Journey Of Searching For The Lost Love. His Journey Will Take You From The City Of Lakes That Is Pokhara To The Traveler'S Paradise Sikkim. Fighting The Obstacles , Will He Finally End His Search Or His Search Will End His Spirit. Only Time Will Tell...",
s6090,Movie,"Fighter, Marbo Noy Morbo",Ravi Kinnagi,"Jeet, Srabanti Biswas",2011,13+,160,Min,"Action, Drama, Romance",Suriya Is A College Student Who Lives With His Brother Acp Bose And His Family. His Brother Is Killed By Local Don And Suriya Must Revenge Them.,
s6091,Movie,Double Blind,Thomas D. Moser,"Jennifer Jarret, Katharine Phillips Moser, Christopher Showerman",2019,16+,90,Min,Action,"When A Team Of Scientists On The Verge Of A Medical Breakthrough Are Mysteriously Murdered, Two Agents Must Protect The Remaining Survivor While Trying To Unravel The Plot Behind The Assassinations.",
s6092,Movie,Doors,"Saman Kesh, Jeff Desom, Dugan O'Neal","Josh Peck, Wilson Bethel, Kyp Malone",2021,16+,84,Min,"Science Fiction, Suspense","When Numerous Mysterious Alien ""Doors"" Appear Around The Globe, Humanity Must Come Together To Understand Their Purpose.",
s6093,Movie,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice Van Houten, Guy Pearce",2019,R,89,Min,"Action, Suspense","In Order To Seek Justice For Their Partner'S Murder, Copenhagen Police Officer (Nikolaj Coster-Waldau) And A Fellow Cop Embark On A Deadly Mission To Hunt Down A Mysterious Man In This Fast-Paced Action Thriller.",
